state,cases,Beson­ders betroffene Ge­biete in Deutsch­land,datetime
Brandenburg,2,,2020-03-08T08:00:00
Thüringen,2,,2020-03-08T08:00:00
Bremen,4,,2020-03-08T08:00:00
Saarland,4,,2020-03-08T08:00:00
Sachsen,4,,2020-03-08T08:00:00
Mecklenburg-Vorpommern,7,,2020-03-08T08:00:00
Schleswig Holstein,8,,2020-03-08T08:00:00
Hamburg,13,,2020-03-08T08:00:00
Rheinland-Pfalz,15,,2020-03-08T08:00:00
Hessen,17,,2020-03-08T08:00:00
Niedersachsen,21,,2020-03-08T08:00:00
Berlin,28,,2020-03-08T08:00:00
Bayern,148,,2020-03-08T08:00:00
Baden-Württemberg,182,,2020-03-08T08:00:00
Nordrhein-Westfalen,392,Landkreis Heinsberg,2020-03-08T08:00:00
sum,847,,2020-03-08T08:00:00
