state,cases,Todesfälle,Beson­ders betroffene Ge­biete in Deutsch­land,datetime
Thüringen,2,0,,2020-03-09T15:00:00
Bremen,4,0,,2020-03-09T15:00:00
Brandenburg,6,0,,2020-03-09T15:00:00
Saarland,6,0,,2020-03-09T15:00:00
Schleswig-Holstein,9,0,,2020-03-09T15:00:00
Mecklenburg-Vorpommern,10,0,,2020-03-09T15:00:00
Sachsen,12,0,,2020-03-09T15:00:00
Hamburg,17,0,,2020-03-09T15:00:00
Rheinland-Pfalz,17,0,,2020-03-09T15:00:00
Hessen,26,0,,2020-03-09T15:00:00
Niedersachsen,38,0,,2020-03-09T15:00:00
Berlin,48,0,,2020-03-09T15:00:00
Baden-Württemberg,204,0,,2020-03-09T15:00:00
Bayern,256,0,,2020-03-09T15:00:00
Nordrhein-Westfalen,484,2,Landkreis Heinsberg,2020-03-09T15:00:00
sum,1139,2,,2020-03-09T15:00:00
